-1.05233726662738e-15*v3,-4.76184005940974e-10*v3,1.40292776059629e-8*v3,-6.77644165399145e-9*v3,9.78985007289677e-9*v3,-1.67616420582165e-8*v3,-1.69216349988398e-15*v3,5.02765395388328e-9*v3,-1.25151094539932e-8*v3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.534013214872353*v3,0.741057786884561*v3,-4.74502162760154*v3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,-2.03125409092464e-14*v3,-2.18896450855836e-8*v3,2.61137974254025e-7*v3,-1.43326711333889e-7*v3,-5.3668807373677e-8*v3,4.88010210744526e-15*v3,8.37295173113428e-8*v3,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,-2.18896450855836e-8*v3,-0.0236236374546052*v3,0.281824070128306*v3,-0.151712859898827*v3,-0.0635742021182056*v3,1.7760646933946e-7*v3,0.0857297881918533*v3,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,2.61137974254025e-7*v3,0.281824070128306*v3,-3.36209047638564*v3,1.80989516678752*v3,0.758423955678081*v3,5.06597042690227e-8*v3,-1.02273329881147*v3,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,-1.43326711333889e-7*v3,-0.151712859898827*v3,1.80989516678752*v3,-2.5239283554688*v3,0.944454217433625*v3,1.32294232553375*v3,2.78413328568201*v3,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,-5.3668807373677e-8*v3,-0.0635742021182056*v3,0.758423955678081*v3,0.944454217433625*v3,-6.52369107660077*v3,3.122257860784*v3,-2.318558507547*v3,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,4.88010210744526e-15*v3,1.7760646933946e-7*v3,5.06597042690227e-8*v3,1.32294232553375*v3,3.122257860784*v3,-4.66666762946306*v3,-1.41106748622486*v3,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,8.37295173113428e-8*v3,0.0857297881918533*v3,-1.02273329881147*v3,2.78413328568201*v3,-2.318558507547*v3,-1.41106748622486*v3,-3.59999996545835*v3,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.28571423203828*v3,1.41363608681128*v3,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.41363608681128*v3,-6.51428528828655*v3,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.90067578214777e-17*v3,1.51072438425977e-9*v3,-8.19927588675058e-9*v3,5.41522993556423e-9*v3,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.51072438425977e-9*v3,-0.120077721126013*v3,0.651707468034873*v3,-0.430421641969147*v3,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.19927588675058e-9*v3,0.651707468034873*v3,-3.53706432725109*v3,2.33606197589935*v3,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.41522993556423e-9*v3,-0.430421641969147*v3,2.33606197589935*v3,-1.54285731056635*v3,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.49999969240683*v3,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
