0,0,0,0,0,0,0,0,0,0,0,0,-1.69333354223975*v3,1.14976329135306*v3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1.14976329135306*v3,-2.9066665880994*v3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.3741530234667e-15*v3,-9.9566362969706e-10*v3,1.77566514920802e-8*v3,-2.93161313549528e-8*v3,1.88133104042758e-8*v3,3.04034524321985e-8*v3,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.9566362969706e-10*v3,-0.00592380204565466*v3,0.105645133607438*v3,-0.0677132722474237*v3,-0.0222197858590341*v3,0.0464201735355259*v3,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.77566514920802e-8*v3,0.105645133607438*v3,-1.88407616745658*v3,1.20759745705933*v3,0.396269837244486*v3,-0.827855749200954*v3,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.93161313549528e-8*v3,-0.0677132722474237*v3,1.20759745705933*v3,-1.78687139501331*v3,1.01938691414081*v3,1.80699704203208*v3,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.88133104042758e-8*v3,-0.0222197858590341*v3,0.396269837244486*v3,1.01938691414081*v3,-1.68424017200753*v3,-1.43055612743349*v3,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.04034524321985e-8*v3,0.0464201735355259*v3,-0.827855749200954*v3,1.80699704203208*v3,-1.43055612743349*v3,-1.97222224089709*v3,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.47333352785462*v3,0.951816991018789*v3,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.951816991018789*v3,-4.52666670595636*v3,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.58617596513997e-16*v3,3.72318990965417e-9*v3,-2.40672832506594e-8*v3,1.83827906813518e-8*v3,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.72318990965417e-9*v3,-0.0536009277412042*v3,0.346484799795108*v3,-0.264647965562504*v3,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.40672832506594e-8*v3,0.346484799795108*v3,-2.2397320633831*v3,1.71072593755906*v3,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.83827906813518e-8*v3,-0.264647965562504*v3,1.71072593755906*v3,-1.3066666684303*v3,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.59999969725092*v3,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
