-5.01422303612783e-14*a3,-2.11871469464705e-8*a3,5.56023353623141e-7*a3,-5.14042103902325e-8*a3,-2.7117383113638e-7*a3,-6.23707697465076e-8*a3,3.71585751037391e-15*a3,5.1075415292737e-16*a3,3.53831290609063e-15*a3,0,5.91547686948308e-8*a3,2.36148434382125e-8*a3,8.81220019578366e-8*a3,0
-2.11871469464705e-8*a3,-0.00911660205534481*a3,0.23925086369339*a3,-0.0302301540497557*a3,-0.113237088698597*a3,-0.021994652262243*a3,-2.17870148878483e-8*a3,-8.77510404384278e-8*a3,-2.68164268679337e-8*a3,3.9559988355401e-16*a3,0.0358922158469843*a3,0.00915676021521207*a3,0.0341698298986536*a3,-3.87944335190843e-8*a3
5.56023353623141e-7*a3,0.23925086369339*a3,-6.27876213426084*a3,0.793336624654734*a3,2.97173163792675*a3,0.57722300442964*a3,5.00844626834876e-8*a3,2.2377989766699e-7*a3,3.84348144071111e-8*a3,4.33044420633069e-15*a3,-0.941926759641055*a3,-0.240305724361148*a3,-0.896733386506535*a3,-1.17790473874356e-7*a3
-5.14042103902325e-8*a3,-0.0302301540497557*a3,0.793336624654734*a3,-4.11594916582475*a3,0.872289890794128*a3,0.193687940978035*a3,1.6295659906303*a3,-0.152159176715288*a3,0.0169565660035095*a3,-3.27584248158451e-7*a3,5.37586764206819*a3,-1.46924145487216*a3,-2.10190556131998*a3,-0.224268357422988*a3
-2.7117383113638e-7*a3,-0.113237088698597*a3,2.97173163792675*a3,0.872289890794128*a3,-6.91668704178858*a3,0.552715390155988*a3,2.55024828217076*a3,0.849171684989168*a3,-0.023563653503874*a3,-1.81453591759148e-8*a3,-0.276188424602776*a3,-0.354241788586632*a3,2.93681674030335*a3,-0.510895376406033*a3
-6.23707697465076e-8*a3,-0.021994652262243*a3,0.57722300442964*a3,0.193687940978035*a3,0.552715390155988*a3,-9.80488207032885*a3,1.08761015995162*a3,4.05209032673431*a3,1.13000435054182*a3,-2.33517782451036e-7*a3,-0.391458143070753*a3,-0.382174198502704*a3,-1.8263587937523*a3,-1.2282199668763*a3
3.71585751037391e-15*a3,-2.17870148878483e-8*a3,5.00844626834876e-8*a3,1.6295659906303*a3,2.55024828217076*a3,1.08761015995162*a3,-7.52206490388924*a3,2.09493091127873*a3,0.180838818397692*a3,3.10501511466488*a3,-2.68300324908816*a3,4.78920983920443*a3,1.74819431480456*a3,-1.30014817399832*a3
5.1075415292737e-16*a3,-8.77510404384278e-8*a3,2.2377989766699e-7*a3,-0.152159176715288*a3,0.849171684989168*a3,4.05209032673431*a3,2.09493091127873*a3,-13.3630737434083*a3,1.647057058451*a3,4.13908577630269*a3,0.0422298356165359*a3,-2.75918300674667*a3,0.930567524040618*a3,2.39993140066782*a3
3.53831290609063e-15*a3,-2.68164268679337e-8*a3,3.84348144071111e-8*a3,0.0169565660035095*a3,-0.023563653503874*a3,1.13000435054182*a3,0.180838818397692*a3,1.647057058451*a3,-8.3032426225225*a3,4.59578662729575*a3,-0.0227906478846652*a3,0.100225437154726*a3,-0.738350476906441*a3,-4.2123231774766*a3
0,3.9559988355401e-16*a3,4.33044420633069e-15*a3,-3.27584248158451e-7*a3,-1.81453591759148e-8*a3,-2.33517782451036e-7*a3,3.10501511466488*a3,4.13908577630269*a3,4.59578662729575*a3,-12.000001839454*a3,-2.25957557665343e-8*a3,-1.9090851978824*a3,-1.87901809134203*a3,4.89897990700087*a3
5.91547686948308e-8*a3,0.0358922158469843*a3,-0.941926759641055*a3,5.37586764206819*a3,-0.276188424602776*a3,-0.391458143070753*a3,-2.68300324908816*a3,0.0422298356165359*a3,-0.0227906478846652*a3,-2.25957557665343e-8*a3,-7.18518493820705*a3,2.09549932175709*a3,2.44670172399201*a3,0.401478725246525*a3
2.36148434382125e-8*a3,0.00915676021521207*a3,-0.240305724361148*a3,-1.46924145487216*a3,-0.354241788586632*a3,-0.382174198502704*a3,4.78920983920443*a3,-2.75918300674667*a3,0.100225437154726*a3,-1.9090851978824*a3,2.09549932175709*a3,-3.65367499552375*a3,-0.34464026137952*a3,0.148422838038254*a3
8.81220019578366e-8*a3,0.0341698298986536*a3,-0.896733386506535*a3,-2.10190556131998*a3,2.93681674030335*a3,-1.8263587937523*a3,1.74819431480456*a3,0.930567524040618*a3,-0.738350476906441*a3,-1.87901809134203*a3,2.44670172399201*a3,-0.34464026137952*a3,-12.0713605108364*a3,7.54864270900508*a3
0,-3.87944335190843e-8*a3,-1.17790473874356e-7*a3,-0.224268357422988*a3,-0.510895376406033*a3,-1.2282199668763*a3,-1.30014817399832*a3,2.39993140066782*a3,-4.2123231774766*a3,4.89897990700087*a3,0.401478725246525*a3,0.148422838038254*a3,7.54864270900508*a3,-9.77600006154741*a3
